time,mousex,mousey,inittarget,harvtarget,intrial,targetx,targety,blockvar
15033,725,601,1,0,1,720,400,0
15047,725,601,1,0,1,720,400,0
15061,725,601,1,0,1,720,400,0
15073,725,601,1,0,1,720,400,0
15086,725,601,1,0,1,720,400,0
15101,725,601,1,0,1,720,400,0
15115,725,601,1,0,1,720,400,0
15127,725,601,1,0,1,720,400,0
15140,725,601,1,0,1,720,400,0
15153,725,601,1,0,1,720,400,0
15167,725,601,1,0,1,720,400,0
15182,725,601,1,0,1,720,400,0
15194,725,601,1,0,1,720,400,0
15207,725,601,1,0,1,720,400,0
15220,725,601,1,0,1,720,400,0
15234,725,601,1,0,1,720,400,0
15247,725,601,1,0,1,720,400,0
15261,725,601,1,0,1,720,400,0
15273,725,601,1,0,1,720,400,0
15286,725,601,1,0,1,720,400,0
15300,725,601,1,0,1,720,400,0
15314,725,601,1,0,1,720,400,0
15328,725,601,1,0,1,720,400,0
15341,725,601,1,0,1,720,400,0
15355,725,600,1,0,1,720,400,0
15371,725,599,1,0,1,720,400,0
15385,726,593,1,0,1,720,400,0
15397,728,584,1,0,1,720,400,0
15410,730,573,1,0,1,720,400,0
15425,730,573,1,0,1,720,400,0
15436,730,556,1,0,1,720,400,0
15451,730,537,0,0,1,720,400,0
15465,730,517,0,0,1,720,400,0
15476,730,493,0,0,1,720,400,0
15491,729,472,0,0,1,720,400,0
15504,728,463,0,0,1,720,400,0
15518,728,463,0,0,1,720,400,0
15531,726,438,0,1,1,720,400,0
15544,725,430,0,1,1,720,400,0
15558,725,426,0,1,1,720,400,0
15573,723,420,0,1,1,720,400,0
15588,722,418,0,1,1,720,400,0
15599,721,417,0,1,1,720,400,0
15616,720,416,0,1,1,720,400,0
15630,720,416,0,1,1,720,400,0
15648,719,416,0,1,1,720,400,0
15662,719,416,0,1,1,720,400,0
15673,719,416,0,1,1,720,400,0
15690,719,416,0,1,1,720,400,0
15704,719,415,0,1,1,720,400,0
15717,718,415,0,1,1,720,400,0
15731,718,415,0,1,1,720,400,0
15743,718,415,0,1,1,720,400,0
15758,718,414,0,1,1,720,400,0
15772,718,414,0,1,1,720,400,0
15787,718,414,0,1,1,720,400,0
15800,718,413,0,1,1,720,400,0
15816,718,413,0,1,1,720,400,0
15829,718,413,0,1,1,720,400,0
15842,717,413,0,1,1,720,400,0
15856,716,413,0,1,1,720,400,0
15870,715,416,0,1,1,720,400,0
15883,713,420,0,1,1,720,400,0
15896,711,425,0,1,1,720,400,0
15910,711,425,0,1,1,720,400,0
15923,710,433,0,1,1,720,400,0
15937,708,442,0,1,1,720,400,0
15951,707,454,0,0,1,720,400,0
15964,706,469,0,0,1,720,400,0
15977,706,476,0,0,1,720,400,0
15991,706,490,0,0,1,720,400,0
16004,706,505,0,0,1,720,400,0
16018,707,516,0,0,1,720,400,0
16032,707,516,0,0,1,720,400,0
16044,710,535,0,0,1,720,400,0
16058,710,535,0,0,1,720,400,0
16073,711,542,0,0,1,720,400,0
16086,713,551,1,0,1,720,400,0
16099,714,557,1,0,1,720,400,0
16114,716,565,1,0,1,720,400,0
16127,717,569,1,0,1,720,400,0
16139,718,573,1,0,1,720,400,0
16153,719,575,1,0,1,720,400,0
16166,719,575,1,0,1,720,400,0
16179,719,575,1,0,1,720,400,0
16191,719,575,1,0,1,720,400,0
16205,719,575,1,0,1,720,400,0
16218,719,575,1,0,1,720,400,0
16232,719,575,1,0,1,720,400,0
16245,719,575,1,0,1,720,400,0
16262,719,575,1,0,1,720,400,0
16279,719,575,1,0,1,720,400,0
16292,719,575,1,0,1,720,400,0
16308,719,575,1,0,1,720,400,0
16324,719,575,1,0,1,720,400,0
16339,719,575,1,0,1,720,400,0
16353,719,575,1,0,1,720,400,0
16371,719,575,1,0,1,720,400,0
16385,719,575,1,0,1,720,400,0
16398,719,575,1,0,1,720,400,0
16413,719,575,1,0,1,720,400,0
16427,719,575,1,0,1,720,400,0
16438,719,575,1,0,1,720,400,0
16451,719,575,1,0,1,720,400,0
16466,719,575,1,0,1,720,400,0
16480,719,575,1,0,1,720,400,0
16491,719,575,1,0,1,720,400,0
16505,719,575,1,0,1,720,400,0
16520,719,575,1,0,1,720,400,0
16533,719,575,1,0,1,720,400,0
16548,719,575,1,0,1,720,400,0
16560,719,575,1,0,1,720,400,0
16574,719,575,1,0,1,720,400,0
16587,719,575,1,0,1,720,400,0
16599,719,575,1,0,1,720,400,0
16613,719,575,1,0,1,720,400,0
16628,719,575,1,0,1,720,400,0
16640,719,575,1,0,1,720,400,0
16653,719,575,1,0,1,720,400,0
16667,719,575,1,0,1,720,400,0
17079,719,575,1,0,0,720,400,0
17093,719,575,1,0,0,720,400,0
17105,719,575,1,0,0,720,400,0
17120,719,575,1,0,0,720,400,0
17133,719,575,1,0,0,720,400,0
17146,719,575,1,0,0,720,400,0
17159,719,575,1,0,0,720,400,0
17173,719,575,1,0,0,720,400,0
17188,719,575,1,0,0,720,400,0
17200,719,575,1,0,0,720,400,0
17212,719,575,1,0,0,720,400,0
17227,719,575,1,0,0,720,400,0
17239,719,575,1,0,0,720,400,0
17253,719,575,1,0,0,720,400,0
17268,719,575,1,0,0,720,400,0
17279,719,575,1,0,0,720,400,0
17293,719,575,1,0,0,720,400,0
17307,719,575,1,0,0,720,400,0
17320,719,575,1,0,0,720,400,0
17334,719,575,1,0,0,720,400,0
17347,719,575,1,0,0,720,400,0
17360,719,575,1,0,0,720,400,0
17374,719,575,1,0,0,720,400,0
17387,719,575,1,0,0,720,400,0
17400,719,575,1,0,0,720,400,0
17414,719,575,1,0,0,720,400,0
17428,719,575,1,0,0,720,400,0
17440,719,575,1,0,0,720,400,0
17454,719,575,1,0,0,720,400,0
17468,719,575,1,0,0,720,400,0
17480,719,575,1,0,0,720,400,0
17494,719,575,1,0,0,720,400,0
17507,719,575,1,0,0,720,400,0
17521,719,575,1,0,0,720,400,0
17534,719,575,1,0,0,720,400,0
17548,719,575,1,0,0,720,400,0
17560,719,575,1,0,0,720,400,0
17574,719,575,1,0,0,720,400,0
17587,719,575,1,0,0,720,400,0
17600,719,575,1,0,0,720,400,0
17615,719,575,1,0,0,720,400,0
17628,719,575,1,0,0,720,400,0
17640,719,575,1,0,0,720,400,0
17653,719,575,1,0,0,720,400,0
17668,719,575,1,0,0,720,400,0
17680,719,575,1,0,0,720,400,0
17694,719,575,1,0,0,720,400,0
17707,719,575,1,0,0,720,400,0
17721,719,575,1,0,0,720,400,0
17734,719,575,1,0,0,720,400,0
17747,719,575,1,0,0,720,400,0
17760,719,575,1,0,0,720,400,0
17773,719,575,1,0,0,720,400,0
17787,719,575,1,0,0,720,400,0
17800,719,575,1,0,0,720,400,0
17813,719,575,1,0,0,720,400,0
17827,719,575,1,0,0,720,400,0
17839,719,575,1,0,0,720,400,0
17853,719,575,1,0,0,720,400,0
17868,719,575,1,0,0,720,400,0
17880,719,575,1,0,0,720,400,0
17894,719,575,1,0,0,720,400,0
17909,719,575,1,0,0,720,400,0
17922,719,575,1,0,0,720,400,0
17935,719,575,1,0,0,720,400,0
17949,719,575,1,0,0,720,400,0
17961,719,575,1,0,0,720,400,0
17975,719,575,1,0,0,720,400,0
17988,719,575,1,0,0,720,400,0
18001,719,575,1,0,0,720,400,0
18016,719,575,1,0,0,720,400,0
18028,719,575,1,0,0,720,400,0
18041,719,575,1,0,0,720,400,0
18055,719,575,1,0,0,720,400,0
18070,719,575,1,0,0,720,400,0
18084,719,575,1,0,0,720,400,0
18096,719,575,1,0,0,720,400,0
18110,719,575,1,0,0,720,400,0
18123,719,575,1,0,0,720,400,0
18137,719,575,1,0,0,720,400,0
18152,719,575,1,0,0,720,400,0
18167,719,575,1,0,0,720,400,0
18178,719,575,1,0,0,720,400,0
18191,719,575,1,0,0,720,400,0
18205,719,575,1,0,0,720,400,0
18220,719,575,1,0,0,720,400,0
18232,719,575,1,0,0,720,400,0
18246,719,575,1,0,0,720,400,0
18258,719,575,1,0,0,720,400,0
18275,719,575,1,0,0,720,400,0
18288,719,575,1,0,0,720,400,0
18299,719,578,1,0,0,720,400,0
18315,719,579,1,0,0,720,400,0
18332,719,582,1,0,0,720,400,0
18347,719,585,1,0,0,720,400,0
18360,719,586,1,0,0,720,400,0
18377,720,588,1,0,0,720,400,0
18387,720,588,1,0,0,720,400,0
18404,720,588,1,0,0,720,400,0
18421,721,590,1,0,0,720,400,0
18437,721,591,1,0,0,720,400,0
18453,721,592,1,0,0,720,400,0
18467,721,593,1,0,0,720,400,0
18482,721,595,1,0,0,720,400,0
18495,722,595,1,0,0,720,400,0
18510,722,595,1,0,0,720,400,0
18526,722,596,1,0,0,720,400,0
18542,722,597,1,0,0,720,400,0
18563,722,599,1,0,0,720,400,0
18575,722,600,1,0,0,720,400,0
18589,722,600,1,0,0,720,400,0
18604,722,601,1,0,0,720,400,0
18619,722,601,1,0,0,720,400,0
18638,722,601,1,0,0,720,400,0
18650,722,601,1,0,0,720,400,0
18665,722,601,1,0,0,720,400,0
18677,722,601,1,0,0,720,400,0
18690,722,601,1,0,0,720,400,0
18704,722,601,1,0,0,720,400,0
18717,722,601,1,0,0,720,400,0
18732,722,601,1,0,0,720,400,0
18744,722,601,1,0,0,720,400,0
18758,722,601,1,0,0,720,400,0
18771,722,601,1,0,0,720,400,0
18785,722,601,1,0,0,720,400,0
18798,722,601,1,0,0,720,400,0
18812,722,601,1,0,0,720,400,0
18826,722,601,1,0,0,720,400,0
18839,722,601,1,0,0,720,400,0
18853,722,601,1,0,0,720,400,0
18867,722,601,1,0,0,720,400,0
18880,722,601,1,0,0,720,400,0
18892,722,601,1,0,0,720,400,0
18905,722,601,1,0,0,720,400,0
18920,722,601,1,0,0,720,400,0
18933,722,601,1,0,0,720,400,0
18946,722,601,1,0,0,720,400,0
18960,722,601,1,0,0,720,400,0
18973,722,601,1,0,0,720,400,0
18986,722,601,1,0,0,720,400,0
18999,722,601,1,0,0,720,400,0
19013,722,601,1,0,0,720,400,0
19026,722,601,1,0,0,720,400,0
19039,722,601,1,0,0,720,400,0
19053,722,601,1,0,0,720,400,0
19066,722,601,1,0,0,720,400,0
